S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Tender Value in ₹
8,05-Jul-2024 6:50 PM,22-Jul-2024 3:00 PM,23-Jul-2024 3:30 PM,[Comprehensive Annual maintenance of various type of Fire Fighting Pumps installed at AIIMS Bhopal ] [01/NIT/EEE/ABEU/AIIMS /BPL/2024-25/3rd call][2024_IMSBP_815209_1],All India Institute of Medical Sciences-Bhopal,"18,34,312"
38,05-Jul-2024 6:00 PM,29-Jul-2024 3:00 PM,30-Jul-2024 3:30 PM,"[Additional/ Modification work of spaces in the department of Microbiology Medical college at ground floor, AIIMS Bhopal] [05/NIT/EEC/ABEU/AIIMS/BPL/ 2024-25][2024_IMSBP_815125_1]",All India Institute of Medical Sciences-Bhopal,"7,27,957"
79,05-Jul-2024 5:30 PM,12-Jul-2024 3:00 PM,13-Jul-2024 3:00 PM,"[Duct modification work and SITC of Air curtains at Trauma Emergency, at AIIMS, Jodhpur] [AIIMS-JDH/EE/ELECT/2024-25/03][2024_AIIMS_815227_1]",All India Institute of Medical Sciences-Jodhpur,NA
81,05-Jul-2024 5:30 PM,15-Jul-2024 3:00 PM,16-Jul-2024 3:30 PM,[Repair of Automatic Sensor Sliding Glass Doors installed at OPD Block] [AIIMSMG/2023/16/RepairDoors][2023_AIMSM_782796_3],All India Institute of Medical Sciences-Mangalagiri-Andhra Pradesh||Procurement Cell - AIIMS Mangalagiri,"3,34,801"
28,05-Jul-2024 6:00 PM,25-Jul-2024 10:00 AM,26-Jul-2024 11:00 AM,"[Annual Maintenance and upkeep of Archaeological Garden at Cooch Behar Palace under Cooch Behar Sub Circle, Cooch Behar, West Bengal] [RGC/02/COB/CBP/HORTI./2024-25][2024_ASI_815244_1]",Archaeological Survey of India||O/o SA - ASI - Raiganj circle,"16,59,105"
70,05-Jul-2024 5:50 PM,11-Jul-2024 10:00 AM,12-Jul-2024 11:00 AM,"[Annual Maintenance and upkeep of Archaeological Garden at Tantipara Mosque under Malda Sub-Circle, Malda, West Bengal] [RGC/03/Tanti/Horti./2024-25][2024_ASI_815242_1]",Archaeological Survey of India||O/o SA - ASI - Raiganj circle,"3,11,156"
72,05-Jul-2024 5:45 PM,11-Jul-2024 10:00 AM,12-Jul-2024 11:00 AM,"[Annual Maintenance and upkeep of Archaeological Garden at Qudam Rasool Mosque and Lukachuri Gate, Gour under Malda Sub-Circle, Malda West Bengal] [RGC/03/QRM-LG/Horti./2024-25][2024_ASI_815237_1]",Archaeological Survey of India||O/o SA - ASI - Raiganj circle,"3,34,103"
31,05-Jul-2024 6:00 PM,22-Jul-2024 11:00 AM,23-Jul-2024 11:30 AM,"[RIGHT TO SELL SOFT DRINKS AND EATABLES INCLUDING THE USAGE OF THE CAFETERIA BUILDING INSIDE THE FORT VELLORE, VELLORE FOR THE PERIOD FROM 01.08.2024 TO 31.07.2025] [2/3/AUC/VEL/2023-M][2024_ASI_815241_1]",Archaeological Survey of India||O/o SA-ASI-Chennai Circle-Chennai,NA
47,05-Jul-2024 6:00 PM,25-Jul-2024 11:00 AM,26-Jul-2024 11:30 AM,[SUPPLY OF MAN POWER (UN-SKILLED) UNDER ANNUAL MAINTENANCE OF MONUMENTS AND SITES UNDER PUDUCHERRY SUB-CIRCLE FOR THE YEAR 2024-25] [2/5/GEN/ PDY/2018-19][2024_ASI_815232_1],Archaeological Survey of India||O/o SA-ASI-Chennai Circle-Chennai,NA
48,05-Jul-2024 6:00 PM,25-Jul-2024 11:00 AM,26-Jul-2024 11:30 AM,[SUPPLY OF MAN POWER (UN-SKILLED) UNDER ANNUAL MAINTENANCE OF INNER MONUMENTS AND SITES UNDER KANCHIPURAM SUB-CIRCLE FOR THE YEAR 2024-25] [2/3/CONS/ KPM/2018-19][2024_ASI_815218_1],Archaeological Survey of India||O/o SA-ASI-Chennai Circle-Chennai,NA
